SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
1176,KKR/TS/1176,ORISON,MANISH,11/09/2023,MD/05,15/09/2023,,,,,,,
1177,KKR/TS/1177,ORISON,MANISH,11/09/2023,MC/24,11/09/2023,,,,,,,
1178,KKR/TS/1178,USHA(B),MANISH,18/10/2023,B/157,19/10/2023,,,,,,,
,,ORISON ,,,C/40,15/09/2023,14/04/2023,,,,,,
,,,NEERAJ,22/04/2024,,,,,,,,,
1179,KKR/TS/1179,USHA(B),MANISH,18/10/2023,B/138,20/10/2023,,,,,,,
1180,KKR/TS/1180,ORISON ,NEERAJ,21/04/2024,,,,NA,,,,,
1181,KKR/TS/1181,ORISON ,,,,,,NA,,,,,
,,BAJAJ,,,B/306,18/09/2023,,,,,,,
1182,KKR/TS/1182,CROMPTON,PAWAN,09/03/2024,B/242,18/09/2023,23/02/2024,,,,,,
,,,,,B/11,02/04/2024,,,,,,,
,,USHA,,,,,,NA,,,,,
1183,KKR/TS/1183,ORIENT,MANISH,18/11/2023,,,,NA,,,,,
1184,KKR/TS/1184,BAJAJ,MANISH,09/11/2023,MC/13,13/02/2024,,,,,,,
1185,KKR/TS/1185,ORISON ,,,,,,NA,,,,,
1186,KKR/TS/1186,ORISON,MANISH,07/10/2023,,,,,,,,,
1187,KKR/TS/1187,ORIENT,MANISH,09/11/2023,,,,,,,,,
1188,KKR/TS/1188,CROMPTON ,,,,,,,,,,,
1189,KKR/TS/1189,ORISON,MANISH,09/10/2023,,,,,,,,,
1190,KKR/TS/1190,CROMPTON,MANISH,11/11/2023,,,,,,,,,
1191,KKR/TS/1191,ORISON,MANISH,26/10/2023,,,,,,,,,
1192,KKR/TS/1192,CROMPTON,MANISH,24/10/2023,,,,,,,,,
1193,KKR/TS/1193,ORISON,,,,,,,,,,,
1194,KKR/TS/1194,CROMPTON,,,,,,,,,,,
1195,KKR/TS/1195,ORISON,need to be checked,,,,,,,,,,
,,,MANISH,23/09/2023,,,,,,,,,
,,,MANISH,09/12/2023,,,,,,,,,
1196,KKR/TS/1196,ORISON,MANISH,23/09/2023,,,,,,,,,
1197,KKR/TS/1197,ORISON,MANISH,25/09/2023,,,,,,,,,
1198,KKR/TS/1198,ORISON,MANISH,25/09/2023,,,,,,,,,
1199,KKR/TS/1199,ORISON,MANISH,25/09/2023,,,,,,,,,
1200,KKR/TS/1200,ORISON,,,,,,,,,,,
1201,KKR/TS/1201,GANESH,,,,,,,,,,,
1202,KKR/TS/1202,USHA,,,,,,,,,,,
1203,KKR/TS/1203,ORISON,MANISH,29/09/2023,,,,,,,,,
1204,KKR/TS/1204,CROMPTON,,,,,,,,,,,
1205,KKR/TS/1205,BAJAJ,,,,,,,,,,,
1206,KKR/TS/1206,BAJAJ,MANISH,04/10/2023,,,,,,,,,
1207,KKR/TS/1207,BAJAJ,,,,,,,,,,,
1208,KKR/TS/1208,ORISON,NIRAJ,08/10/2023,,,,,,,,,
,,,NIEERAJ,21/04/2024,,,,,,,,,
,,,NEERAJ,12/05/2024,,,,,,,,,
1209,KKR/TS/1209,BAJAJ,MANISH,09/10/2023,B/214,10/09/2023,,,,,,,
,,,,,,,,,,,,,
1210,KKR/TS/1210,ORISON,MANISH,09/10/2023,B/214,10/09/2023,,,,,,,
1211,KKR/TS/1211,ORISON,,,B/214,10/09/2023,,,,,,,
1212,KKR/TS/1212,ORISON,MANISH,09/10/2023,,,,,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
1213,KKR/TS/1213,ORISON,MANISH,09/10/2023,,,,,,,,,
1214,KKR/TS/1214,USHA,MANISH,09/10/2023,,,,,,,,,
1215,KKR/TS/1215,GANESH(S),,,,,,RETURN FROM B/136,,,,,
,,ORISON,MANISH,09/10/2023,,,,,,,,,
1216,KKR/TS/1216,ZOLTA,,,B/70,13/10/2023,,,,,,,
,,USHA (B),MANISH,11/10/2023,,,,,,,,,
1217,KKR/TS/1217,ZOLTA,,,,,,,,,,,
,,GANESH( ,MANISH,11/10/2023,,,,,,,,,
1218,KKR/TS/1218,BAJAJ,MANISH,11/10/2023,,,,,,,,,
1219,KKR/TS/1219,BERLIA,MANISH,11/10/2023,,,,,,,,,
1220,KKR/TS/1220,USHA,MANISH,11/10/2023,,,,,,,,,
1221,KKR/TS/1221,GANESH,MANISH,11/10/2023,B/280,10/12/2023,,,,,,,
1222,KKR/TS/1222,GANESH,MANISH,11/10/2023,,,,,,,,,
1223,KKR/TS/1223,ORISON,,,,,,,,,,,
1224,KKR/TS/1224,GANESH,,,B/70,13/10/2023,,,,,,,
1225,KKR/TS/1225,GANESH,,,B/70,13/10/2023,,,,,,,
1226,KKR/TS/1226,ORISON,MANISH,13/10/2023,,,,,,,,,
1227,KKR/TS/1227,GANESH(B),,,,,,,,,,,
,,ORIENT,MANISH,13/10/2023,,,,,,,,,
1228,KKR/TS/1228,ORISON,MANISH,13/10/2023,,,,,,,,,
1229,KKR/TS/1229,GANESH ,MANISH,14/10/2023,,,,,,,,,
1230,KKR/TS/1230,USHA,MANISH,14/10/2023,,,,,,,,,
1231,KKR/TS/1231,GANESH ,,,MH/15,24/04/2024,,,,,,,
,,ORISON,MANISH,04/12/2023,,,,,,,,,
1232,KKR/TS/1232,BAJAJ,MANISH,09/12/2023,,,,,,,,,
1233,KKR/TS/1233,ORISON,MANISH,06/12/2023,,,,,,,,,
1234,KKR/TS/1234,ORISON,,,,,,,,,,,
1235,KKR/TS/1235,CROMPTON,MANISH,15/10/2023,,,,,,,,,
,,,,,,,,,,,,,
1236,KKR/TS/1236,ORISON,MANISH,16/10/2023,,,,,,,,,
1237,KKR/TS/1237,BAJAJ,MANISH,16/10/2023,,,,,,,,,
1238,KKR/TS/1238,KHAITAN,MANISH,16/10/2023,,,,,,,,,
1239,KKR/TS/1239,ORIENT,MANISH,16/10/2023,,,,,,,,,
1240,KKR/TS/1240,GANESH,MANISH,17/10/2023,,,,,,,,,
1241,KKR/TS/1241,GANESH,MANISH,17/10/2023,,,,,,,,,
1242,KKR/TS/1242,GANESH,MANISH,17/10/2023,,,,,,,,,
1243,KKR/TS/1243,GANESH,,,,,,,,,,,
1244,KKR/TS/1244,ORIENT ,MANISH,19/10/2023,,,,,,,,,
,,,,,,,,,,,,,
1245,KKR/TS/1245,ORIENT(B),MANISH ,19/10/2023,,,,,,,,,
1246,KKR/TS/1246,ORIENT,MANISH ,19/10/2023,,,,,,,,,
1247,KKR/TS/1247,BAJAJ,,20/10/2023,,,,,,,,,
1248,KKR/TS/1248,ORISON,,,,,,,,,,,
,,BAJAJ,,,,,,,,,,,
1249,KKR/TS/1249,ORISON ,,23/10/2023,D/06,,,,,,,,
1250,KKR/TS/1250,ORISON ,,23/10/2023,D/06,,,,,,,,
1251,KKR/TS/1251,ORISON ,,23/10/2023,D/06,,,,,,,,
1252,KKR/TS/1252,ORISON ,,23/10/2023,D/06,,,,,,,,
1253,KKR/TS/1253,ORISON ,,23/10/2023,D/06,,,,,,,,
1254,KKR/TS/1254,ORISON ,PAWAN,24/10/2023,,,,,,,,,
1255,KKR/TS/1255,ORISON ,PAWAN,24/10/2023,,,,,,,,,
1256,KKR/TS/1256,GANESH,,,,,,,,,,,
1257,KKR/TS/1257,CROMPTION,PAWAN,27/10/2023,,,,,,,,,
1258,KKR/TS/1258,JYOTI,MANISH,27/10/2023,,,,,,,,,
1259,KKR/TS/1259,ORISON,MANISH,27/10/2023,,,,,,,,,
1260,KKR/TS/1260,USHA,MANISH,29/10/2023,,,,,,,,,
1261,KKR/TS/1261,BAJAJ,MANISH,28/10/2023,,,,,,,,,
1262,KKR/TS/1262,ORIENT (B),MANISH,28/10/2023,,,,,,,,,
1263,KKR/TS/1263,USHA,,29/10/2023,,,,,,,,,
1264,KKR/TS/1264,USHA,MANISH,30/10/2023,,,,,,,,,
1265,KKR/TS/1265,USHA,MANISH,30/10/2023,,,,,,,,,
1266,KKR/TS/1266,USHA,MANISH,31/10/2023,,,,,,,,,
1267,KKR/TS/1267,ZOLTA,,31/10/2023,B/118,11/01/2023,,,,,,,
1268,KKR/TS/1268,BAJAJ,MANISH,02/11/2023,,,,,,,,,
1269,KKR/TS/1269,ORISON,MANISH,05/11/2023,,,,,,,,,
1270,KKR/TS/1270,ORISON,MANISH,05/11/2023,,,,,,,,,
1271,KKR/TS/1271,GANESH,,,,,,,,,,,
1272,KKR/TS/1272,USHA,,,,,,,,,,,
1273,KKR/TS/1273,USHA,,,,,,,,,,,
1274,KKR/TS/1274,USHA,NIRAJ & PAWAN ,07/03/2024,,,,,,,,,
,,,PAWAN,16/11/2023,,,,,,,,,
1275,KKR/TS/1275,GANESH,MANISH,18/11/2023,,,,,,,,,
1276,KKR/TS/1276,KHAITAN,MANISH,18/11/2023,,,,,,,,,
1277,KKR/TS/1277,KHAITAN,MANISH,21/11/2023,,,,,,,,,
1278,KKR/TS/1278,ORISON,MANISH,21/11/2023,,,,,,,,,
1279,KKR/TS/1279,ORISON,MANISH,26/11/2023,,,,,,,,,
1280,KKR/TS/1280,ORIENT,,30/11/2023,MV/13,,,,,,,,
1281,KKR/TS/1281,USHA,,02/12/2023,MW/16,,,,,,,,
1282,KKR/TS/1282,ORIENT,PAWAN,02/04/2024,,,,,,,,,
1283,KKR/TS/1283,ORIENT,RAHUL,01/04/2024,,,,,,,,,
1284,KKR/TS/1284,ORIENT,,,,,,,,,,,
1285,KKR/TS/1285,ORIENT,PAWAN,01/04/2024,,,,,,,,,
1286,KKR/TS/1286,ORIENT,,,,,,,,,,,
1287,KKR/TS/1287,ORIENT,PAWAN,01/04/2024,,,,,,,,,
1288,KKR/TS/1288,GANESH,PAWAN,01/04/2024,,,,,,,,,
1289,KKR/TS/1289,USHA,,,,,,,,,,,
1290,KKR/TS/1290,BAJAJ,,,,,,,,,,,
,,,PAWAN,29/05/2024,,,,,,,,,
1291,KKR/TS/1291,USHA (B),PAWAN,02/04/2024,,,,,,,,,
,,,,,,,,,,,,,
1292,KKR/TS/1292,ORISON,PAWAN ,11/03/2024,,,,,,,,,
1293,KKR/TS/1293,GANESH (B),,,,,,,,,,,
1294,KKR/TS/1294,BAJAJ,,,,,,,,,,,
1295,KKR/TS/1295,CROMPTON,,,,,,,,,,,
1296,KKR/TS/1296,BAJAJ ,,,,,,,,,,,
1297,KKR/TS/1297,BAJAJ ,,,,,,,,,,,
1298,KKR/TS/1298,ORISON ,,,,,,,,,,,
1299,KKR/TS/1299,KHAITAN ,,,MF/03,28/01/2024,,,,,,,
1300,KKR/TS/1300,ORISON ,,,,,,,,,,,
,,GANESH ,,,MJ/16,,,,,,,,
1301,KKR/TS/1301,ORISON ,,,,,,,,,,,
1302,KKR/TS/1302,ORISON ,,,,,,,,,,,
1303,KKR/TS/1303,ORISON ,,,,,,,,,,,
1304,KKR/TS/1304,ORISON ,,,,,,,,,,,
1305,KKR/TS/1305,ORISON ,,,,,,,,,,,
1306,KKR/TS/1306,ORISON ,,,,,,,,,,,
1307,KKR/TS/1307,ORISON ,,,,,,,,,,,
1308,KKR/TS/1308,ORISON ,,,,,,,,,,,
1309,KKR/TS/1309,ORISON ,,,,,,,,,,,
1310,KKR/TS/1310,ORISON ,MANISH,25/12/2023,,,,,,,,,
1311,KKR/TS/1311,ORISON ,,,,,,,,,,,
1312,KKR/TS/1312,ORISON ,,,,,,,,,,,
1313,KKR/TS/1313,ORISON ,,,,,,,,,,,
1314,KKR/TS/1314,ORISON ,,,,,,,,,,,
1315,KKR/TS/1315,ORISON ,,,,,,,,,,,
1316,KKR/TS/1316,ORISON ,,,,,,,,,,,
1317,KKR/TS/1317,ORISON ,,,,,,,,,,,
1318,KKR/TS/1318,ORISON ,,,,,,,,,,,
1319,KKR/TS/1319,ORISON ,,,,,,,,,,,
1320,KKR/TS/1320,ORISON ,,,,,,,,,,,
1321,KKR/TS/1321,ORISON ,,,,,,,,,,,
1322,KKR/TS/1322,ORISON ,,,,,,,,,,,
1323,KKR/TS/1323,ORISON ,,,,,,,,,,,
1324,KKR/TS/1324,ORISON ,MANISH,23/12/2023,,,,,,,,,
1325,KKR/TS/1325,ORISON ,,,,,,,,,,,
1326,KKR/TS/1326,ORISON ,,,,,,,,,,,
1327,KKR/TS/1327,ORISON ,,,,,,,,,,,
1328,KKR/TS/1328,ORISON ,,,,,,,,,,,
1329,KKR/TS/1329,ORISON ,,22/04/2024,,,,,,,,,
,,,MANISH,25/12/2023,,,,,,,,,
1330,KKR/TS/1330,ORISON ,MANISH,24/12/2023,,,,,,,,,
1331,KKR/TS/1331,ORISON ,,,,,,,,,,,
,,,PAWAN,29/05/2024,,,,,,,,,
1332,KKR/TS/1332,ORISON ,MANISH ,13/12/2023,,,,,,,,,
1333,KKR/TS/1333,ORISON ,MANISH ,22/12/2023,,,,,,,,,
1334,KKR/TS/1334,ORISON ,,,,,,,,,,,
,,,NEERAJ,08/05/2024,MD/12,05/11/2024,,,,,,,
1335,KKR/TS/1335,ORISON ,MANISH ,22/12/2023,,,,,,,,,
1336,KKR/TS/1336,ORISON ,,,,,,,,,,,
1337,KKR/TS/1337,ORISON ,MANISH,24/12/2023,,,,,,,,,
1338,KKR/TS/1338,ORISON ,MANISH,24/12/2023,,,,,,,,,
1339,KKR/TS/1339,ORISON ,MANISH,23/12/2023,,,,,,,,,
1340,KKR/TS/1340,ORISON ,,,,,,,,,,,
1341,KKR/TS/1341,ORISON ,MANISH,24/12/2023,,,,,,,,,
1342,KKR/TS/1342,ORISON ,MANISH,24/12/2023,,,,,,,,,
1343,KKR/TS/1343,ORISON ,,,,,,,,,,,
1344,KKR/TS/1344,ORISON ,,,,,,,,,,,
1345,KKR/TS/1345,ORISON ,,,,,,,,,,,
1346,KKR/TS/1346,ORISON ,,,,,,,,,,,
1347,KKR/TS/1347,ORISON ,,,,,,,,,,,
1348,KKR/TS/1348,ORISON ,,,,,,,,,,,
1349,KKR/TS/1349,ORISON ,,,,,,,,,,,
1350,KKR/TS/1350,USHA (B),,,MJ/14,17/03/2024,,,,,,,
,,ORISON ,MANISH,24/12/2023,,,,,,,,,
1351,KKR/TS/1351,ORIENT,FROM MP/28,19/03/2024,,,,,,,,,
1352,KKR/TS/1352,ORIENT,FROM MP/28,19/03/2024,,,,,,,,,
1353,KKR/TS/1353,KHAITAN,,,,,,,,,,,
1354,KKR/TS/1354,GANESH (B),,,,,,,,,,,
1355,KKR/TS/1355,BAJAJ ,,,,,,,,,,,
1356,KKR/TS/1356,ORISON ,,,,,,,,,,,
1357,KKR/TS/1357,,,,,,,,,,,,
1358,KKR/TS/1358,,,,,,,,,,,,
1359,KKR/TS/1359,,,,,,,,,,,,
1360,KKR/TS/1360,,,,,,,,,,,,
1361,KKR/TS/1361,ORTEM,RAHUL,31/03/2024,,,,,,,,,
1362,KKR/TS/1362,ORISON ,RAHUL,31/03/2024,,,,,,,,,
1363,KKR/TS/1363,BERLIA ,,01/04/2024,,,,,,,,,
1364,KKR/TS/1364,GANESH ,,01/04/2024,,,,,,,,,
1365,KKR/TS/1365,ORIENT ,RAHUL ,01/04/2024,,,,,,,,,
1366,KKR/TS/1366,ORISON ,NIRAJ ,01/04/2024,,,,,,,,,
1367,KKR/TS/1367,ORISON ,Pawan,02/04/2024,,,,,,,,,
1368,KKR/TS/1368,ORISON ,PAWAN,02/04/2024,,,,,,,,,
1369,KKR/TS/1369,KHAITAN ,RAHUL ,02/04/2024,,,,,,,,,
,,,,,,,,,,,,,
1370,KKR/TS/1370,USHA ,RAHUL,02/04/2024,,,,,,,,,
1371,KKR/TS/1371,CROMPTON ,RAHUL ,02/04/2024,,,,,,,,,
,,,,,,,,,,,,,
1372,KKR/TS/1372,BAJAJ ,,,,,,,,,,,
1373,KKR/TS/1373,ORISON,,,,,,,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
1374,KKR/TS/1374,GANESH (B),,,C/07,01/10/2024,,,,,,,
1375,KKR/TS/1375,GANESH(B),SANJAY,,,,,,,,,,
1376,KKR/TS/1376,GANESH(B),SANJAY,,,,,,,,,,
1377,KKR/TS/1377,GANESH(B),SANJAY,,,,,,,,,,
1378,KKR/TS/1378,GANESH(B),SANJAY,,,,,,,,,,
1379,KKR/TS/1379,GANESH(B),SANJAY,,,,,,,,,,
1380,KKR/TS/1380,GANESH(S),SANJAY,,,,,,,,,,
1381,KKR/TS/1381,GANESH(B),SANJAY,,,,,,,,,,
1382,KKR/TS/1382,GANESH(S),SANJAY,,,,,,,,,,
1383,KKR/TS/1383,GANESH(S),SANJAY,,,,,,,,,,
1384,KKR/TS/1384,GANESH(B),SANJAY,,,,,,,,,,
1385,KKR/TS/1385,GANESH(B),SANJAY,,,,,,,,,,
1386,KKR/TS/1386,GANESH(B),SANJAY,,,,,,,,,,
1387,KKR/TS/1387,GANESH(B),SANJAY,,,,,,,,,,
1388,KKR/TS/1388,ORISON,,,,,,,,,,,
1389,KKR/TS/1389,GANESH(S),,,,,,,,,,,
1390,KKR/TS/1390,GANESH(S),,,,,,,,,,,
1391,KKR/TS/1391,USHA(S),,,,,,,,,,,
1392,KKR/TS/1392,USHA(B),,,,,,,,,,,
1393,KKR/TS/1393,USHA(B),,,,,,,,,,,
1394,KKR/TS/1394,BERLIA,RAHUL,01/04/2024,,,,,,,,,
1395,KKR/TS/1395,BAJAJ ,PAWAN,02/04/2024,,,,,,,,,
1396,KKR/TS/1396,BAJAJ ,brown ,,,,,,,,,,
1397,KKR/TS/1397,BAJAJ ,,,,,,,,,,,
1398,KKR/TS/1398,BAJAJ ,,,,,,,,,,,
1399,KKR/TS/1399,KHAITAN ,,,,,,,,,,,
1400,KKR/TS/1400,GEC,,,,,,,,,,,
1401,KKR/TS/1401,ORIENT (B),,,,,,,,,,,
1402,KKR/TS/1402,ORIENT (B),,,,,,,,,,,
1403,KKR/TS/1403,GEC,,,,,,,,,,,
1404,KKR/TS/1404,ORTEM,,,,,,,,,,,
1405,KKR/TS/1405,ORTEM,,,,,,,,,,,
1406,KKR/TS/1406,ORTEM,,,,,,,,,,,
1407,KKR/TS/1407,ORTEM,,,,,,,,,,,
1408,KKR/TS/1408,ORISON ,,,,,,,,,,,
1409,KKR/TS/1409,ZOLTA,,,,,,,,,,,
1410,KKR/TS/1410,KHAITAN ,brown ,,,,,,,,,,
1411,KKR/TS/1411,OLD,brown,,,,,,,,,,
1412,KKR/TS/1412,BAJAJ ,PAWAN ,11/03/2024,,,,,,,,,
1413,KKR/TS/1413,GANESH (B),COIL CUT FOR REPAIR ,,,,,,,,,,
1414,KKR/TS/1414,KASSELS,COIL CUT FOR REPAIR ,,,,,,,,,,
1415,KKR/TS/1415,ORIENT ,COIL CUT FOR REPAIR ,,,,,,,,,,
1416,KKR/TS/1416,GANESH ,COIL CUT FOR REPAIR ,,,,,,,,,,
1417,KKR/TS/1417,ORIENT ,COIL CUT FOR REPAIR ,,,,,,,,,,
1418,KKR/TS/1418,KHAITAN ,COIL CUT FOR REPAIR ,,,,,,,,,,
1419,KKR/TS/1419,ORISON ,COIL CUT FOR REPAIR ,,,,,,,,,,
,,,PAWAN,29/05/2024,,,,,,,,,
1420,KKR/TS/1420,BAJAJ BAHAR,COIL CUT FOR REPAIR ,,,,,,,,,,
1421,KKR/TS/1421,ORIENT ,COIL CUT FOR REPAIR ,,,,,,,,,,
1422,KKR/TS/1422,USHA (S),COIL CUT FOR REPAIR ,,,,,,,,,,
1423,KKR/TS/1423,ORISON ,,,,,,,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
1424,KKR/TS/1424,ORISON ,,,,,,,,,,,
1425,KKR/TS/1425,ORISON ,PAWAN SATYAM,10/04/2024,,,,,,,,,
,,,,22/04/2024,,,,,,,,,
1426,KKR/TS/1426,USHA,,,B/45,07/04/2024,,,,,,,
1427,KKR/TS/1427,USHA,,,MH/05,07/04/2024,,,,,,,
1428,KKR/TS/1428,BERLIA,,,,,,,,,,,
1429,KKR/TS/1429,BAJAJ ,from b/273,,,,,,,,,,
1430,KKR/TS/1430,BAJAJ ,from b/273,,C/01,12/04/2024,,,,,,,
1431,KKR/TS/1431,ORISON ,,,MN/18,,,,,,,,
1432,KKR/TS/1432,USHA,,,,,,,,,,,
1433,KKR/TS/1433,ORISON ,,22/04/2024,,,,,,,,,
,,,,,,,,,,,,,
1434,KKR/TS/1434,ORISON ,,,,,,,,,,,
1435,KKR/TS/1435,ORISON ,RAHUL DEEWANE,22/04/2024,,,,,,,,,
1436,KKR/TS/1436,ORISON ,,,,,,,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
1437,KKR/TS/1437,ORISON ,,,,,,,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
1438,KKR/TS/1438,ORISON ,RAHUL ,21/04/2024,,,,,,,,,
1439,KKR/TS/1439,USHA (B),,,,,,,,,,,
1440,KKR/TS/1440,USHA (B),,,,,,,,,,,
1441,KKR/TS/1441,CROMPTON,,,,,,,,,,,
1442,KKR/TS/1442,ORISON ,Ts/443,,MI/02,12/03/2023,,,,,,,
1443,KKR/TS/1443,ORISON ,,,MI/02,,,,,,,,
1444,KKR/TS/1444,BAJAJ ,,,MI/02,,,,,,,,
1445,KKR/TS/1445,GANESH (S),,,,,,,,,,,
,,,NEERAJ ,22/04/2024,,,,,,,,,
1446,KKR/TS/1446,GEC,,,,,,,,,,,
1447,KKR/TS/1447,USHA (B),,,,,,,,,,,
1448,KKR/TS/1448,ORISON ,,,,,,,,,,,
1449,KKR/TS/1449,ORISON ,PAWAN SATYAM,10/04/2024,,,,,,,,,
1450,KKR/TS/1450,CROMPTON ,,,,,,,,,,,
1451,KKR/TS/1451,ORIENT ,,,,,,,,,,,
1452,KKR/TS/1452,,,,,,,,,,,,
1453,KKR/TS/1453,,,,,,,,,,,,
1454,KKR/TS/1454,,,,,,,,,,,,
1455,KKR/TS/1455,,,,,,,,,,,,
1456,KKR/TS/1456,,,,,,,,,,,,
1457,KKR/TS/1457,,,,,,,,,,,,
1458,KKR/TS/1458,,,,,,,,,,,,
1459,KKR/TS/1459,,,,,,,,,,,,
1460,KKR/TS/1460,,,,,,,,,,,,
1461,KKR/TS/1461,,,,,,,,,,,,
1462,KKR/TS/1462,,,,,,,,,,,,
1463,KKR/TS/1463,,,,,,,,,,,,
1464,KKR/TS/1464,,,,,,,,,,,,
1465,KKR/TS/1465,,,,,,,,,,,,
1466,KKR/TS/1466,,,,,,,,,,,,
1467,KKR/TS/1467,GANESH (B),,,,,,,,,,,
1468,KKR/TS/1468,ORISON,,,,,,,,,,,
1469,KKR/TS/1469,ORTEM,,,,,,,,,,,
1470,KKR/TS/1470,ORTEM,,,,,,,,,,,
1471,KKR/TS/1471,ORTEM,,,,,,,,,,,
1472,KKR/TS/1472,ORTEM,,,,,,,,,,,
1473,KKR/TS/1473,ORTEM,,,,,,,,,,,
1474,KKR/TS/1474,ORTEM,,,,,,,,,,,
1475,KKR/TS/1475,ORIENT,,,,,,,,,,,
1476,KKR/TS/1476,GANESH (B),,,,,,,,,,,
1477,KKR/TS/1477,KHAITAN,,,,,,,,,,,
1478,KKR/TS/1478,ORIENT,,,,,,,,,,,
1479,KKR/TS/1479,ORIENT,,,,,,,,,,,
1480,KKR/TS/1480,BAJAJ,,,,,,,,,,,
1481,KKR/TS/1481,BAJAJ,,,,,,,,,,,
1482,KKR/TS/1482,BAJAJ,,,,,,,,,,,
1483,KKR/TS/1483,BAJAJ,,,,,,,,,,,
1484,KKR/TS/1484,BAJAJ,,,,,,,,,,,
1485,KKR/TS/1485,BAJAJ,,,,,,,,,,,
1486,KKR/TS/1486,BAJAJ,,,,,,,,,,,
1487,KKR/TS/1487,CROMPTON,,,,,,,,,,,
1488,KKR/TS/1488,BAJAJ,,,,,,,,,,,
1489,KKR/TS/1489,ORISON,,,,,,,,,,,
1490,KKR/TS/1490,ORIENT,,,,,,,,,,,
1491,KKR/TS/1491,KHAITAN,,,,,,,,,,,
1492,KKR/TS/1492,KHAITAN,,,,,,,,,,,
1493,KKR/TS/1493,KHAITAN,,,,,,,,,,,
1494,KKR/TS/1494,KHAITAN,,,,,,,,,,,
1495,KKR/TS/1495,KHAITAN,,,,,,,,,,,
1496,KKR/TS/1496,KHAITAN,,,,,,,,,,,
1497,KKR/TS/1497,KHAITAN,,,,,,,,,,,
1498,KKR/TS/1498,GANESH (B),,,,,,,,,,,
1499,KKR/TS/1499,ORIENT,,,,,,,,,,,
1500,KKR/TS/1500,USHA,,,,,,,,,,,
1501,KKR/TS/1501,ORISON,,,,,,,,,,,
1502,KKR/TS/1502,ORISON ,COIL CUT,20/12/2023,,,,,,,,,
1503,KKR/TS/1503,KHAITAN,,,,,,,,,,,
1504,KKR/TS/1504,KHAITAN,,,,,,,,,,,
1505,KKR/TS/1505,ORISON,,,,,,,,,,,
1506,KKR/TS/1506,KHAITAN,,,,,,,,,,,
1507,KKR/TS/1507,KHAITAN,,,,,,,,,,,
1508,KKR/TS/1508,ORIENT,,,,,,,,,,,
1509,KKR/TS/1509,KHAITAN,,,,,,,,,,,
1510,KKR/TS/1510,KHAITAN,,,,,,,,,,,
1511,KKR/TS/1511,KHAITAN,,,,,,,,,,,
1512,KKR/TS/1512,KHAITAN,,,,,,,,,,,
1513,KKR/TS/1513,KHAITAN,,,,,,,,,,,
1514,KKR/TS/1514,KHAITAN,,,,,,,,,,,
1515,KKR/TS/1515,KHAITAN,,,,,,,,,,,
1516,KKR/TS/1516,KHAITAN,,,,,,,,,,,
1517,KKR/TS/1517,ORTEM,,,,,,,,,,,
1518,KKR/TS/1518,ORTEM,,,,,,,,,,,
1519,KKR/TS/1519,ORISON,,,,,,,,,,,
1520,KKR/TS/1520,ORTEM,,,,,,,,,,,
1521,KKR/TS/1521,ORTEM,,,,,,,,,,,
1522,KKR/TS/1522,BAJAJ,,,,,,,,,,,
1523,KKR/TS/1523,ORTEM,,,,,,,,,,,
1524,KKR/TS/1524,ORISON,,,,,,,,,,,
1525,KKR/TS/1525,ORISON,,,,,,,,,,,
1526,KKR/TS/1526,ORISON,,,,,,,,,,,
1527,KKR/TS/1527,ORTEM,,,,,,,,,,,
1528,KKR/TS/1528,ORTEM,,,,,,,,,,,
1529,KKR/TS/1529,ORISON,,,,,,,,,,,
1530,KKR/TS/1530,ORTEM,,,,,,,,,,,
1531,KKR/TS/1531,ORTEM,,,,,,,,,,,
1532,KKR/TS/1532,ORTEM,,,,,,,,,,,
1533,KKR/TS/1533,CROMPTON,PAWAN,29/05/2024,,,,,,,,,
1534,KKR/TS/1534,BAJAJ,,,,,,,,,,,
1535,KKR/TS/1535,KHAITAN,,,,,,,,,,,
1536,KKR/TS/1536,KHAITAN,,,,,,,,,,,
1537,KKR/TS/1537,ORIENT (B),,,,K,,,,,,,
1538,KKR/TS/1538,BAJAJ,,,,,,,,,,,
1539,KKR/TS/1539,ORIENT,,,,,,,,,,,
1540,KKR/TS/1540,ORIENT,,,,,,,,,,,
1541,KKR/TS/1541,ORIENT,,,,,,,,,,,
1542,KKR/TS/1542,,,,,,,,,,,,
1543,KKR/TS/1543,,,,,,,,,,,,
1544,KKR/TS/1544,,,,,,,,,,,,
1545,KKR/TS/1545,,,,,,,,,,,,
1546,KKR/TS/1546,,,,,,,,,,,,
1547,KKR/TS/1547,,,,,,,,,,,,
1548,KKR/TS/1548,,,,,,,,,,,,
1549,KKR/TS/1549,,,,,,,,,,,,
1550,KKR/TS/1550,,,,,,,,,,,,
1551,KKR/TS/1551,,,,,,,,,,,,
1552,KKR/TS/1552,,,,,,,,,,,,
1553,KKR/TS/1553,,,,,,,,,,,,
